PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Gildenhuys, P				Gildenhuys, Peter			Righteous modeling: the competence of classical population genetics	BIOLOGY & PHILOSOPHY																															0169-3867					NOV	2011	26	6					813	835		10.1007/s10539-011-9268-0	http://dx.doi.org/10.1007/s10539-011-9268-0													WOS:000297116500002
J	WOHRMANN, K; LANGE, P; STROBEL, R				WOHRMANN, K; LANGE, P; STROBEL, R			POPULATION GENETICS IN SACCHAROMYCES-CEREVISIAE .1. YEAST AS A SUBJECT FOR POPULATION GENETICS	THEORETICAL AND APPLIED GENETICS																															0040-5752						1974	44	1					1	6		10.1007/BF00277700	http://dx.doi.org/10.1007/BF00277700								24425309					WOS:A1974R655400001
J	KIMURA, M				KIMURA, M			PROSPECTS OF PROGRESS IN POPULATION GENETICS AND HOW RESEARCH IN POPULATION GENETICS MAY BE PROMOTED	JAPANESE JOURNAL OF GENETICS																															0021-504X						1964	39	5					380	&																WOS:A19646116300175
C	Veith, M; Seitz, A		Pfadenhauer, J		Veith, M; Seitz, A			Possible applications of population genetics to species conservation	PROCEEDINGS OF THE GESELLSCHAFT FUR OKOLOGIE, VOL 24					24th Annual Meeting of the Gesellschaft-fur-Okologie	SEP 19-23, 1994	FRANKFURT, GERMANY	gesell okol																													1995							219	226																WOS:A1995BE44E00036
J	WATT, WB				WATT, WB			BIOCHEMISTRY, PHYSIOLOGICAL ECOLOGY, AND POPULATION-GENETICS - THE MECHANISTIC TOOLS OF EVOLUTIONARY BIOLOGY	FUNCTIONAL ECOLOGY					CONF ON NEW DIRECTIONS IN PHYSIOLOGICAL ECOLOGY	MAR 26-29, 1990	UNIV SHEFFIELD, SHEFFIELD, ENGLAND	BRIT ECOL SOC, SOC EXPTL BIOL, ENVIRONM PHYSIOL GRP	UNIV SHEFFIELD																						0269-8463						1991	5	2					145	154		10.2307/2389252	http://dx.doi.org/10.2307/2389252													WOS:A1991FH53200004
J	Gildenhuys, P				Gildenhuys, Peter			Classical population genetics and the semantic approach to scientific theories	SYNTHESE																															0039-7857	1573-0964				JAN	2013	190	2					273	291		10.1007/s11229-012-0146-3	http://dx.doi.org/10.1007/s11229-012-0146-3													WOS:000313065500007
J	CABARET, J; GRUNER, L; HUMBERT, JF; QUENTIN, JC; RICHARDLENOBLE, D				CABARET, J; GRUNER, L; HUMBERT, JF; QUENTIN, JC; RICHARDLENOBLE, D			MOLECULAR-BIOLOGY TOOLS IN PARASITOLOGY - THEIR USE FOR IDENTIFICATION, BIOSYSTEMATICS AND POPULATION-GENETICS	VETERINARY RESEARCH																															0928-4249						1994	25	6					580	613																WOS:A1994PT31200008
J	Pepinski, W; Janica, J; Skawronska, M; Koc-Zorawska, E; Niemcunowicz-Janica, A; Soltyszewski, I				Pepinski, W; Janica, J; Skawronska, M; Koc-Zorawska, E; Niemcunowicz-Janica, A; Soltyszewski, I			Population genetics for the CODIS core STR loci in the population of Northeastern Poland	JOURNAL OF FORENSIC SCIENCES																	Pepiński, Witold/U-9250-2018; Skawrońska, Małgorzata/U-9251-2018; Koc, Zafer/S-8384-2016; Koc-Zorawska, Ewa/U-9193-2018; Niemcunowicz-Janica, Anna/X-3831-2018	Pepiński, Witold/0000-0003-1244-2247; Skawrońska, Małgorzata/0000-0002-1237-4240; Koc, Zafer/0000-0003-0987-1980; Koc-Zorawska, Ewa/0000-0002-4606-219X; Niemcunowicz-Janica, Anna/0000-0003-2807-8312; Soltyszewski, Ireneusz/0000-0003-1128-8129													0022-1198					SEP	2003	48	5					1197	1198											14535700					WOS:000185246000044
J	Rougeron, V; De Meeus, T; Banuls, AL				Rougeron, Virginie; De Meeus, Thierry; Banuls, Anne-Laure			Response to Tibayrenc et al.: can recombination in Leishmania parasites be so rare?	TRENDS IN PARASITOLOGY																	Rougeron, Virginie/AAH-7447-2020	Banuls, Anne-Laure/0000-0002-2106-8667; Rougeron, Virginie/0000-0001-5873-5681													1471-4922	1471-5007				JUL	2015	31	7					280	281		10.1016/j.pt.2015.05.006	http://dx.doi.org/10.1016/j.pt.2015.05.006								26142922					WOS:000357757600002
C	GREGORIUS, HR; BARADAT, P		Adams, WT; Strauss, SH; Copes, DL; Griffin, AR		GREGORIUS, HR; BARADAT, P			A COMMENTARY ON CURRENT APPROACHES TO FOREST POPULATION-GENETICS	POPULATION GENETICS OF FOREST TREES	FORESTRY SCIENCES				INTERNATIONAL SYMP ON POPULATION GENETICS OF FOREST TREES	JUL 31-AUG 02, 1990	CORVALLIS, OR	INT UNION FORESTRY RES ORG, OREGON STATE UNIV, FOREST SCI DEPT, USDA FOREST SERV, PACIFIC NW RES STN																									0-7923-1857-9				1992	42						409	420																WOS:A1992BX26F00019
